country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","17-01-2025 18:00:00",26.349082,92.68449,NH3,1,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","17-01-2025 18:00:00",26.349082,92.68449,CO,8,80,40
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","17-01-2025 18:00:00",22.348441,82.549611,NH3,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","17-01-2025 18:00:00",22.348441,82.549611,CO,30,31,30
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","17-01-2025 18:00:00",22.126650,83.483212,PM2.5,44,215,103
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","17-01-2025 18:00:00",22.126650,83.483212,OZONE,2,5,3
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","17-01-2025 18:00:00",22.1910172,83.5197009,PM2.5,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","17-01-2025 18:00:00",22.1910172,83.5197009,CO,7,40,16
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","17-01-2025 18:00:00",22.1910172,83.5197009,OZONE,1,38,32
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","17-01-2025 18:00:00",21.258815,81.578979,PM2.5,51,71,59
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","17-01-2025 18:00:00",22.06631475,83.33820077,NH3,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC","17-01-2025 18:00:00",28.815329,77.153010,PM2.5,223,410,307
India,Delhi,Delhi,"Alipur, Delhi - DPCC","17-01-2025 18:00:00",28.815329,77.153010,NH3,10,13,11
India,Delhi,Delhi,"Alipur, Delhi - DPCC","17-01-2025 18:00:00",28.815329,77.153010,SO2,3,10,7
India,Delhi,Delhi,"Alipur, Delhi - DPCC","17-01-2025 18:00:00",28.815329,77.153010,OZONE,1,55,40
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","17-01-2025 18:00:00",28.695381,77.181665,PM2.5,267,496,346
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","17-01-2025 18:00:00",25.892357,86.590325,SO2,16,19,18
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","17-01-2025 18:00:00",25.892357,86.590325,OZONE,9,17,14
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","17-01-2025 18:00:00",24.952822,84.002396,NH3,3,3,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","17-01-2025 18:00:00",24.952822,84.002396,OZONE,5,15,7
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","17-01-2025 18:00:00",26.2271665,84.3570427,PM2.5,42,113,67
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","17-01-2025 18:00:00",26.2271665,84.3570427,CO,103,122,109
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","17-01-2025 18:00:00",26.1403345,85.3650192,NH3,1,2,1
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","17-01-2025 18:00:00",26.1403345,85.3650192,CO,40,90,63
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","17-01-2025 18:00:00",25.586562,85.043586,OZONE,3,67,44
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","17-01-2025 18:00:00",25.592539,85.227158,CO,69,133,84
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","17-01-2025 18:00:00",21.185571,81.343175,NO2,6,9,8
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","17-01-2025 18:00:00",22.08815,82.13737,PM10,27,78,58
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","17-01-2025 18:00:00",22.08815,82.13737,NO2,15,25,22
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","17-01-2025 18:00:00",22.118125,83.140608,NH3,2,3,3
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","17-01-2025 18:00:00",30.751462,76.762879,OZONE,1,30,15
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","17-01-2025 18:00:00",30.719859,76.738637,PM2.5,78,374,203
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","17-01-2025 18:00:00",30.719859,76.738637,PM10,61,273,137
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","17-01-2025 18:00:00",30.719859,76.738637,OZONE,3,42,26
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","17-01-2025 18:00:00",21.258815,81.578979,OZONE,1,4,3
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","17-01-2025 18:00:00",21.219665,81.630094,PM2.5,32,65,46
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","17-01-2025 18:00:00",21.371751,81.664929,NH3,3,3,3
India,Bihar,Patna,"Muradpur, Patna - BSPCB","17-01-2025 18:00:00",25.619651,85.147382,PM10,202,324,249
India,Bihar,Patna,"Muradpur, Patna - BSPCB","17-01-2025 18:00:00",25.619651,85.147382,CO,36,64,49
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","17-01-2025 18:00:00",25.366336,87.117468,NH3,4,4,4
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","17-01-2025 18:00:00",28.4706914,77.1099364,OZONE,12,75,33
India,Delhi,Delhi,"Bawana, Delhi - DPCC","17-01-2025 18:00:00",28.776200,77.051074,PM10,97,405,174
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","17-01-2025 18:00:00",28.5710274,77.0719006,NH3,15,21,18
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","17-01-2025 18:00:00",28.5710274,77.0719006,SO2,4,17,6
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","17-01-2025 18:00:00",28.5710274,77.0719006,CO,2,173,13
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","17-01-2025 18:00:00",28.5627763,77.1180053,PM10,107,229,147
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","17-01-2025 18:00:00",28.5627763,77.1180053,CO,40,106,62
India,Delhi,Delhi,"ITO, Delhi - CPCB","17-01-2025 18:00:00",28.628624,77.241060,PM2.5,123,500,310
India,Delhi,Delhi,"ITO, Delhi - CPCB","17-01-2025 18:00:00",28.628624,77.241060,SO2,7,25,18
India,Delhi,Delhi,"ITO, Delhi - CPCB","17-01-2025 18:00:00",28.628624,77.241060,CO,36,171,48
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","17-01-2025 18:00:00",28.6573814,77.1585447,PM10,127,434,231
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","17-01-2025 18:00:00",28.530785,77.271255,NH3,9,15,12
